"TAG","Volume  de recherche","TAG 1","TAG 2","TAG 3","TAG 4"
"Connaissance client","320","Marketing","Client","Connaissance Client",""
"coûts directs","90","Gestion des Achats","Gestion des Coûts","Coûts Directs",""
"coûts indirects","30","Gestion des Achats","Gestion des Coûts","Coûts Indirects",""
"Customer 360","70","Software","Salesforce","Customer360",""
"GIAC Security Essentials","10","Software","Sécurité","Cybersécurité",""
"sécurité IT","70","IT","Sécurité","Cybersécurité",""
"Data intelligence","260","Science des données","Data Science","Data Intelligence",""
"Data preparation","170","Science des données","Data Science","Data Preparation",""
"éditique","1300","Gestion de contenu d'entreprise (ECM)","Gestion électronique des documents (GED)","Éditique",""
"e-reputation","0","Marketing","Digital Marketing","E-Reputation",""
"espace de travail intelligent","0","Environnement de travail","Environnement numérique de travail","espace de travail intelligent",""
"Experience client","0","Marketing","Client","Expérience Client",""
"Expérience client","3600","Marketing","Client","Expérience Client",""
"Experience clients","0","Marketing","Client","Expérience Client",""
"expérience clients","3600","Marketing","Client","Expérience Client",""
"gestion de l'expérience client","0","Marketing","Client","Expérience Client",""
"fabrication additive","1900","Technologie","Impression 3D","Fabrication additive",""
"flux documentaire","30","Gestion de contenu d'entreprise (ECM)","Workflow","Gestion de Flux documentaire",""
"Gestion des serveurs","10","IT","Gestion des ressources informatiques - ITIL","Gestion des serveurs",""
"Gestion des services IT","10","IT","Gestion des ressources informatiques - ITIL","Gestion des services informatiques",""
"IT Service Management","140","IT","Gestion des ressources informatiques - ITIL","Gestion des services informatiques",""
"IT services","590","IT","Gestion des ressources informatiques - ITIL","Gestion des services informatiques",""
"gestion des immobilisations","70","Secteur","Immobilier","Gestion Immobilière",""
"gestion immobilière","2900","Secteur","Immobilier","Gestion Immobilière",""
"HANA Enterprise Cloud","10","Software","SAP","HANA",""
"HSM","4400","Sécurité","Cyptographie","Hardware",""
"Horlogerie","18100","Secteur","Mode","Horlogerie",""
"Ethereum Hyperledger","0","Cyptomonnaie","Ethereum","Hyperledger",""
"IA-as-a-service","0","Artificial intelligence","Cloud Computing","IAaS",""
"informatique cognitique","0","Artificial intelligence","Data Mining","informatique cognitive",""
"informatique cognitive","30","Artificial intelligence","Data Mining","informatique cognitive",""
"gestion des données IoT","0","Science des données","Gestion des Données","IOT",""
"joaillerie","18100","Secteur","Mode","Joaillerie",""
"Key Performance Indicateur","10","Monitoring","KPI","Key Performance Indicateur",""
"KPI","40500","Monitoring","KPI","Key Performance Indicateur",""
"LCMS","1300","Education","E-Learning","Learning Content Management System (LCMS)",""
"Learning Content Management System","20","Education","Enseignement Supérieur","Learning Content Management System (LCMS)",""
"Learning Management System","590","Education","E-learning","Learning Management System (LMS)",""
"LMS","9900","Education","E-Learning","Learning Management System (LMS)",""
"Magento","9900","Gestion de contenu d'entreprise (ECM)","Système de gestion de contenu (CMS)","Magento",""
"MSSP","720","Sécurité","Cybersécurité","Managed security service",""
"CMDB","3600","Science des données","Base de données","Management des bases de données",""
"Marketing automation","4400","Marketing","Marketing digital","Marketing Automation",""
"Marketing Cloud","590","Software","Salesforce","Marketing Cloud",""
"MSS","2400","Réseaux Informatique","TCP","Maximum Segment Size",""
"Security Innovation Alliance","10","Sécurité","Certification","McAfee",""
"DPO","12100","Science des données","Data protection officer","Métier",""
"DRH","14800","Gestion des ressources humaines","DHR","Métier",""
"responsable RH","2900","Gestion des ressources humaines","Responsable RH","Métier",""
"data scientists","","Science des données","Data Scientist","Métiers",""
"XaaS","320","Xaas","Cloud Computing","modèle d'exploitation commerciale des logiciels",""
"MOOC","74000","Education","E-Learning","MOOC",""
"Multi-tenant","0","Cloud Computing","SaaS","Multi-tenant",""
"NFV","390","Cloud Computing","Virtualisation","NFV",""
"Notes de frais","6600","Gestion des ressources humaines","Gestion de la Paie","Notes de Frais",""
"Office fédéral pour la sécurité de l'information","","Sécurité","Cybersécurité","Office fédéral pour la sécurité de l'information",""
"Office 365","1500000","Software","Microsoft","Office365",""
"Office365","246000","Software","Microsoft","Office365",""
"omnicanal","8100","Marketing","Distribution","Omnicanal",""
"Power automate","3600","Software","Microsoft","Power Automate",""
"RegTech","590","Finance","Fintech","RegTech",""
"Regtechs","0","Finance","Fintech","RegTech",""
"relation client","8100","Marketing","Client","Relation client",""
"Relations clients","8100","Marketing","Client","Relation client",""
"réseaux sociaux","49500","Marketing","Digital Marketing","Réseaux Sociaux",""
"BPO médical","0","Business process outsourcing","BPO","Santé",""
"SAP Cloud Platform","480","Software","SAP","SAP Cloud Platform",""
"SAP clouf Platform","0","Software","SAP","SAP Cloud Platform",""
"SAP UX","10","Software","SAP","SAP UX",""
"Satisfaction client","4400","Marketing","Client","Satisfaction client",""
"SDDC","320","Cloud Computing","Virtualisation","SDDC",""
"Industrie 4.0","0","Industrie","Indusrtire 4.0","Secteur",""
"Commerce","49500","Commerce","","Secteur",""
"Secure by design","480","Sécurité","Design","Secure by design",""
"sécurité des données","260","Sécurité","Cybersécurité","sécurité des données",""
"protection des infrastructures","0","Sécurité","Cybersécurité","sécurité des infrastructures IT",""
"sécurité des infrastructures","10","Sécurité","Cybersécurité","sécurité des infrastructures IT",""
"sécurité des terminaux","0","Sécurité","Cybersécurité","sécurité des terminaux",""
"sécurité du réseaux","0","Sécurité","Cybersécurité","sécurité du réseaux",""
"cyber-sécurité","","Sécurité","Cybersécurité","Sécurité Informatique",""
"sécurité IoT","70","Sécurité","IOT","Sécurité IOT",""
"Sécurité managée","0","Sécurité","Cybersécurité","Sécurité managée",""
"SEO","33100","Marketing","Digital Marketing","SEO",""
"Support infrastructures","0","IT","Infrastructure IT","Support Infrastructure IT",""
"tableau de bord","0","Gestion","Monitoring","Tableau de bord",""
"TensorFlow","9900","Software","Google","TensorFlow",""
"transports autonomes","70","IOT","Mobilité","Tranport Autonome",""
"transport intelligent","30","IOT","Mobilité","Transport Intelligent",""
"transports intelligents","10","IOT","Mobilité","Transport Intelligent",""
"ValuePLUS 2.0","0","Software","SAP","ValuePlus",""
"Vision par ordinateur","260","Artificial intelligence","Deep Learning","Vision Par Ordinateur",""
"automobiles connectées","0","IOT","Mobilité","Voiture Autonome",""
"véhicule autonome","1300","IOT","Mobilité","Voiture Autonome",""
"voiture autonome","6600","IOT","Mobilité","Voiture Autonome",""
"voiture connectée","720","IOT","Mobilité","Voiture Autonome",""
"voitures connectées","40","IOT","Mobilité","Voiture Connectée",""
"Vol de données","210","Sécurité","Cybersécurité","Vol de données",""
"Windows","49500","Software","OS","Windows",""
"Windows  Virtual  Desktop","","Software","Azure","Windows Virtual Desktop",""
"360 LEARNING","14800","Company","360 LEARNING","",""
"accélérateurs","1600","IOT","Accélerateurs","",""
"Accélérateurs IoT","0","IOT","Accélerateurs","",""
"incubateur IoT","0","IOT","Accélerateurs","",""
"MyConcerto","20","Software","Accenture","",""
"MyNav","20","Software","Accenture","",""
"Accenture","22200","Company","Accenture","",""
"achat","12100","Gestion des Achats","Achats","",""
"Achats","12100","Gestion des Achats","Achats","",""
"Acquisition","8100","Marketing","Acquisition","",""
"acquisitions","0","Marketing","Acquisition","",""
"génération  de prospects","0","Marketing","Acquisition","",""
"Activ'Infinite","","Software","Activ'Infinite","",""
"administration publique","2900","Secteur","Administration Publique","",""
"Adobe","135000","Company","Adobe","",""
"ADP","74000","Company","ADP","",""
"ADV","8100","Métier","ADV","",""
"AFS","5400","Company","AFS","",""
"OTA","5400","Hôtellerie","Agences de voyages","",""
"ALCUIN","2400","Company","ALCUIN","",""
"Industrie des boissons","20","Secteur","Alimentaire","",""
"AlmavivA","1300","Company","AlmavivA","",""
"Alten","33100","Company","Alten","",""
"Altran","27100","Company","Altran","",""
"Amadeus","22200","Company","Amadeus","",""
"Alexa","60500","Software","Amazon","",""
"SageMaker","590","Software","Amazon","",""
"Amazon","0","Company","Amazon","",""
"RedShift","3600","Software","Amazone","",""
"analyse prédictive","390","Artificial intelligence","Analyse prédictive","",""
"analytique predictif","0","Artificial intelligence","Analyse prédictive","",""
"analyse prescriptive","70","Artificial intelligence","Analyse prescriptive","",""
"analyse du trafic","20","Marketing","Analytics","",""
"Advanced Analytics Platforms","10","BI","Analytics","",""
"Analytical Platforms","40","BI","Analytics","",""
"Analytics","49500","BI","Analytics","",""
"Analytique","4400","BI","Analytics","",""
"analytique de données","10","BI","Analytics","",""
"antivirus","33100","Sécurité","Antivirus","",""
"détection logiciel malveillant","0","Sécurité","Antivirus","",""
"Apache","22200","software","Apache","",""
"Apache Software Foundation","110","Company","Apache Software Foundation","",""
"Apps Store","74000","Software","Apple","",""
"procurement","5400","Logistique","Approvisionnement","",""
"Architecture","22200","Secteur","Architecture","",""
"architecture informatique","1000","IT","Architecture Logicielle","",""
"architecture informatique optimisée","0","IT","Architecture Logicielle","",""
"architecture logicielle","2400","IT","Architecture Logicielle","",""
"SDN","8100","Cloud Computing","Architecture réseau","",""
"Ariba","4400","software","Ariba","",""
"AssistEdge","10","software","AssistEdge","",""
"Insurance","5400","Secteur","Assurance","",""
"Atlassian","8100","Company","Atlassian","",""
"SyntBots","10","Software","Atos","",""
"ATOS","33100","Company","ATOS","",""
"Auchan","2240000","Company","Auchan","",""
"Augeo","260","software","Augeo","",""
"automatisation de la production","20","Automatisation","Automation industrielle","",""
"automatisation des flux","10","Automatisation","Automation industrielle","",""
"automatisation des tâches","110","Automatisation","Automation industrielle","",""
"automobile","74000","Secteur","Automobile","",""
"automobiles","","Secteur","Automobile","",""
"Automotive Grade Linux","50","Software","Automotive Grade Linux","",""
"Autonomous Database","30","Software","Autonomous Database","",""
"Axelerae","10","Company","Axelerae","",""
"Azure","18100","software","Azure","",""
"BaaS","1300","Cloud Computing","Baas","",""
"back-end","0","Développement","Backend","",""
"backends","0","Développement","Backend","",""
"BAM","12100","Company","BAM","",""
"Banques Populaires","1600","Company","Banques Populaires","",""
"Base de données","14800","Science des données","Base de données","",""
"bases de données","0","Science des données","Base de données","",""
"bdd","12100","Science des données","Base de données","",""
"Basware","2400","software","Basware","",""
"BearingPoint","5400","Company","BearingPoint","",""
"bibliothèques open source","0","Open Source","Bibliothèque","",""
"Big data","27100","Science des données","Big Data","",""
"ETL","8100","Science des données","Big Data","",""
"BigQuery","2400","Software","BigQuery","",""
"Bionix","140","software","Bionix","",""
"Birst","170","Company","Birst","",""
"blendede learning","50","Education","Blended learning","",""
"Bluebot","880","Software","Bluebot","",""
"BMS","6600","Company","BMS","",""
"Bootcamp","12100","Software","Bootcamp","",""
"bot","12100","Artificial intelligence","Bot","",""
"bot de détection","0","Artificial intelligence","Bot","",""
"bots","0","Artificial intelligence","Bot","",""
"BOX","60500","software","BOX","",""
"BPCE","27100","Company","BPCE","",""
"BPMN","3600","Modélisation de processus d'affaires","BPMN","",""
"BPO","201000","Business process outsourcing","BPO","",""
"Services de BPO","0","Business process outsourcing","BPO","",""
"BSI","5400","Company","BSI","",""
"BT Global Services","90","Company","BT Global Services","",""
"Bull","22200","Company","Bull","",""
"Bullion","3600","software","Bullion","",""
"Bullion et BullSequana","0","Software","Bullion et BullSequana","",""
"BPM","14800","Business administration","Business Process Management","",""
"business technology platform","10","Software","business technology platform","",""
"C&SI","0","Company","C&SI","",""
"C/4HANA","","software","C/4HANA","",""
"C4/HANA","","software","C4/HANA","",""
"CaaS","1000","Cloud Computing","CaaS","",""
"caisse automatique","1600","IOT","Caisse Automatique","",""
"Canopy","5400","software","Canopy","",""
"CAO","12100","Conception assistée par ordinateur","CAO","",""
"Capgemini","49500","Company","Capgemini","",""
"Car.OS","","software","Car.OS","",""
"Carrefour","2740000","Company","Carrefour","",""
"CASB","880","software","CASB","",""
"catia","4400","software","catia","",""
"Cegid","27100","Company","Cegid","",""
"Cegid XRP","","software","Cegid XRP","",""
"Cegid-Technomedia","","Software","Cegid-Technomedia","",""
"Centersight","10","Software","Centersight","",""
"centre d'opérations de sécurité","","Sécurité","centre d'opérations de sécurité","",""
"Centric","880","Company","Centric","",""
"CephFS","170","software","CephFS","",""
"Information Systems Security Management Professional","10","Sécurité","Cértification","",""
"CGI","27100","Company","CGI","",""
"CIO","27100","Métier","Chief information officer","",""
"Chine","301000","Country","Chine","",""
"CIAM","2900","Company","CIAM","",""
"client","12100","Marketing","Client","",""
"clients","0","Marketing","Client","",""
"SmarTAMS","10","Software","Cloud Computing","",""
"hyperscalers cloud","10","Hyperscale","Cloud Computing","",""
"ERP Cloud","210","ERP","CLOUD","",""
"Cloud BI","50","BI","Cloud Bi","",""
"Cloud Foundry","720","Software","Cloud Foundry","",""
"cloud public","590","Cloud Computing","cloud public","",""
"CMS INFORMATIC","590","Company","CMS INFORMATIC","",""
"co-construction","0","Marketing","Co-création","",""
"co-création","0","Marketing","Co-création","",""
"code open source","90","Open Source","Code","",""
"Cognizant","3600","Company","Cognizant","",""
"Coleman","5400","Company","Coleman","",""
"Comarch","1300","Company","Comarch","",""
"commerce de gros","2900","Commerce","Commerce de gros","",""
"commercre de gros","0","Commerce","Commerce de gros","",""
"grossiste","14800","Commerce","Commerce de gros","",""
"Wholesale","6600","Commerce","Commerce de gros","",""
"commerce en ligne","1000","Commerce","Commerce numérique","",""
"commerce numérique","40","Commerce","Commerce numérique","",""
"comptabilité analytique","3600","Comptabilité","Comptabilité Analytique","",""
"Comptabilité générale","1600","Comptabilité","Comptabilité Générale","",""
"CompTIA CySA+ (Cyber Security Analyst)","","Software","CompTIA CySA+ (Cyber Security Analyst)","",""
"CompTIA Security+","260","Software","CompTIA Security+","",""
"conception générative","90","Artificial intelligence","Conception générative","",""
"Concur","12100","software","Concur","",""
"consolidation Erp","0","ERP","Consolidation","",""
"Cornerstone","3600","Company","Cornerstone","",""
"Cortana","6600","software","Cortana","",""
"covid-19","0","Santé","covid-19","",""
"CPQ","1000","software","CPQ","",""
"XRM","210","XRM","CRM","",""
"cryptomonnaie","14800","Banque","Cryptomonnaie","",""
"cyberdéfense","880","Sécurité","Cybérsecurité","",""
"cyber risques","320","Sécurité","Cybersécurité","",""
"cyberattaque","8100","Sécurité","Cybersécurité","",""
"cybermenace","260","Sécurité","Cybersécurité","",""
"cyber-menace","0","Sécurité","Cybersécurité","",""
"cybersecurité","","Sécurité","Cybersécurité","",""
"Cybersécurité","12100","Sécurité","Cybersécurité","",""
"cybersecurity","3600","Sécurité","Cybersécurité","",""
"Cybersécurtié","0","Sécurité","Cybersécurité","",""
"cybersécutité","0","Sécurité","Cybersécurité","",""
"Cysécurité","0","Sécurité","Cybersécurité","",""
"détection d'intrusion","0","Sécurité","Cybersécurité","",""
"firewall","8100","Sécurité","Cybersécurité","",""
"malware","12100","Sécurité","Cybersécurité","",""
"sécurité de l'information","","Sécurité","Cybersécurité","",""
"DaaS","1600","Cloud Computing","DaaS","",""
"Data","18100","Science des données","Data","",""
"donnée","0","Science des données","Data","",""
"Données","6600","Science des données","Data","",""
"Data Catalog","480","Science des données","Data Catalogue","",""
"data catalogue","","Science des données","Data Catalogue","",""
"Data center","18100","Science des données","Data Center","",""
"data centers","","Science des données","Data Center","",""
"datacenter","","Science des données","Data Center","",""
"Data-centric","","Science des données","Data Centric","",""
"Data discovery","90","Science des données","Data discovery","",""
"data driven","1300","Science des données","Data Driven","",""
"Data- driven","","Science des données","Data Driven","",""
"data driven company","90","Science des données","Data Driven","",""
"Data-driven","","Science des données","Data Driven","",""
"data gouvernance","1000","Science des données","Data Gouvernance","",""
"Data governance","1000","Science des données","Data Gouvernance","",""
"Data labs","20","Science des données","Data Lab","",""
"DLP","3600","Sécurité","Data Loss Prevention","",""
"Data Loss Prevention","210","Science des données","Data Loss Prevention","",""
"data management","2900","Science des données","Data Management","",""
"Data mining","6600","Science des données","Data Mining","",""
"Data Monétization","0","Science des données","Data Monetization","",""
"Data Quality Management","210","Science des données","Data Quality Management","",""
"Data science","18100","Science des données","Data Science","",""
"data visualisation","4400","Science des données","Data Visualisation","",""
"visualisation","2400","Science des données","Data Visualisation","",""
"entrepôt de données","480","Science des données","Data Warehouse","",""
"Warehoue","18100","Science des données","Data Warehouse","",""
"DataFlow","590","Science des données","DataFlow","",""
"Datagroup","90","Company","Datagroup","",""
"Datasure","10","Company","Datasure","",""
"deep learning","9900","Artificial intelligence","Deep Learning","",""
"Dell","165000","Company","Dell","",""
"delmia","480","software","delmia","",""
"Deloitte","22200","Company","Deloitte","",""
"Deloitte Integrated Tax Logic","0","Software","Deloitte Integrated Tax Logic","",""
"Deloitte Reimagine Platform","10","Software","Deloitte Reimagine Platform","",""
"Deloitte Value Driver Tree Components Extension","0","Software","Deloitte Value Driver Tree Components Extension","",""
"Design thinking","14800","Design","Design Thinking","",""
"DeviceWISE","10","software","DeviceWISE","",""
"DevSecOps","1600","DevOps","DevSecOps","",""
"Digital asset management","720","Gestion de contenu d'entreprise (ECM)","Digital Asset Management","",""
"digital factory","1300","Transformation digitale","Digital Factory","",""
"digital finance","110","Finance","Digital Finance","",""
"DIMO Software","","Software","DIMO Software","",""
"DRYiCE","1600","Company","DRYiCE","",""
"DSI","22200","Métier","DSI","",""
"Dundas","170","Company","Dundas","",""
"DXC IGNITE","0","software","DXC IGNITE","",""
"DXC PathWay","0","Software","DXC PathWay","",""
"DXC Technology","3600","Company","DXC Technology","",""
"Dynamics","3600","software","Dynamics","",""
"EC2","1600","software","EC2","",""
"Eclipse Foundation","90","Company","Eclipse Foundation","",""
"Econocom","14800","Company","Econocom","",""
"Edge Cloud","260","Cloud Computing","Edge Cloud","",""
"Edge","49500","Cloud Computing","Edge Computing","",""
"Edge computing","2400","Cloud Computing","Edge Computing","",""
"EDI","9900","Échange de données informatisé","EDI","",""
"académie digitale","20","Education","E-learning","",""
"digital learning","1300","Education","E-Learning","",""
"e-learning","0","Education","E-Learning","",""
"enseignement supérieur","12100","Education","E-Learning","",""
"Learning experience platform","70","Education","E-learning","",""
"learning portal","50","Education","E-Learning","",""
"ELO Digital Office","50","Company","ELO Digital Office","",""
"employé connecté","0","Gestion des ressources humaines","Employé Connecté","",""
"employés connectés","0","Gestion des ressources humaines","Employé Connecté","",""
"travailleur connecté","0","Gestion des ressources humaines","Employé Connecté","",""
"EAM","1900","Gestion d'entreprise","Enterprise asset management (EAM)","",""
"Environnement de développement","320","Développement","Environnement de développement","",""
"digital workplace","1600","Environnement de travail","Environnement numérique de travail","",""
"Digital workspace","170","Environnement de travail","Environnement numérique de travail","",""
"lieu de travail numérique","0","Environnement de travail","Environnement numérique de travail","",""
"Equinix","3600","Company","Equinix","",""
"Esker","6600","Company","Esker","",""
"Etats-Unis","0","Country","Etats-Unis","",""
"Ethereum","0","Cyptomonnaie","Ethereum","",""
"Europe","135000","Continent","Europe","",""
"Europe de l'Est","0","Continent","Europe","",""
"CX","9900","Marketing","Expérience client","",""
"expérience employé","70","Gestion des ressources humaines","Expérience Employé","",""
"expérience employée","0","Gestion des ressources humaines","Expérience Employé","",""
"Experts-comptables","0","Métier","Expert-Comptable","",""
"Exprivia","30","Company","Exprivia","",""
"Facebook","68000000","Company","Facebook","",""
"FAI","9900","Télécoms","FAI","",""
"FCA","9900","Company","FCA","",""
"finance","22200","Secteur","Finance","",""
"finance numérique","30","Finance","Finance numérique","",""
"Financial Conduct Authority","480","Finance","Financial Conduct Authority","",""
"fiscalité","6600","Gestion","Fiscalité","",""
"flux applicatifs","0","Cloud Computing","Flux","",""
"FLUXYM","390","Company","FLUXYM","",""
"FOEDERIS","1300","Company","FOEDERIS","",""
"Fondation Eclipse","30","Company","Fondation Eclipse","",""
"fondation Linux","50","Company","fondation Linux","",""
"formation","74000","Education","Formation","",""
"formation en ligne","9900","Education","Formation En Ligne","",""
"fournisseurs IoT","0","IOT","Fournisseur IoT","",""
"France","673000","Country","France","",""
"Franprix","246000","Company","Franprix","",""
"front-end","0","Développement","Front End","",""
"frontends","10","Développement","Front End","",""
"Front Office","2400","SI","Front Office","",""
"front-office","0","SI","Front Office","",""
"FSM","1900","Company","FSM","",""
"FUTURSKILL","260","Company","FUTURSKILL","",""
"GE Digital","260","Company","GE Digital","",""
"Genpact","480","Company","Genpact","",""
"gestion du personnel","880","Gestion des ressources humaines","Gestion administrative du personnel","",""
"budget","33100","Comptabilité","Gestion budgétaire","",""
"Gestion budgétaire","1000","Comptabilité","Gestion budgétaire","",""
"planification budgétaire","70","Comptabilité","Gestion budgétaire","",""
"asset management","8100","Finance","Gestion d'actifs","",""
"facturation","27100","Comptabilité","Gestion de la facturation","",""
"facture","0","Comptabilité","Gestion de la facturation","",""
"Factures","0","Comptabilité","Gestion de la facturation","",""
"Gestion de la paie","720","Gestion des ressources humaines","Gestion de la Paie","",""
"paie","5400","Gestion des ressources humaines","Gestion de la Paie","",""
"Payroll","1900","Gestion des ressources humaines","Gestion de la Paie","",""
"Authentification","33100","Sécurité","Gestion des Accès","",""
"identités et accès","0","Sécurité","Gestion des Accès","",""
"Costing","2900","Gestion des Achats","Gestion des Coûts","",""
"Coût","2900","Gestion des Achats","Gestion des Coûts","",""
"coûts","0","Gestion des Achats","Gestion des Coûts","",""
"gestion centralisée des données","0","Science des données","Gestion des Données","",""
"gestion de données","390","Science des données","Gestion des Données","",""
"gestion de la donnée","0","Science des données","Gestion des Données","",""
"gestion de la données","0","Science des données","Gestion des Données","",""
"gestion des données","260","Science des données","Gestion des Données","",""
"gestion des données industrielles","0","Science des données","Gestion des Données","",""
"Gestion des données unifiée","0","Science des données","Gestion des Données","",""
"gestion des identités et des accès","110","Sécurité","Gestion des identités et des accès","",""
"PAM","9900","Sécurité","Gestion des identités et des accès","",""
"SSO","9900","Sécurité","Gestion des identités et des accès","",""
"SIRH","12100","Système d'informations","Gestion des ressources humaines","",""
"gestion des ressources","140","IT","Gestion des ressources informatiques - ITIL","",""
"gestion des ressources IT","0","IT","Gestion des ressources informatiques - ITIL","",""
"Information Technology Infrastructure Library","20","IT","Gestion des ressources informatiques - ITIL","",""
"ITIL","9900","IT","Gestion des ressources informatiques - ITIL","",""
"gestion des stocks","1600","Logistique","Gestion des Stocks","",""
"stock","22200","Logistique","Gestion des Stocks","",""
"stocks","0","Logistique","Gestion des Stocks","",""
"Gestion des talents","390","Gestion des ressources humaines","Gestion des talents","",""
"GED","14800","Gestion de contenu d'entreprise (ECM)","Gestion électronique des documents (GED)","",""
"gestion documentaire","720","Gestion de contenu d'entreprise (ECM)","Gestion électronique des documents (GED)","",""
"Gestion financière","1300","Finance","Gestion financière","",""
"gestion locative","5400","Immobilier","Gestion Locative","",""
"gestion de carrière","1300","Gestion des ressources humaines","Gestion prévisionnelle des emplois et des compétences (GPEC)","",""
"gestion des compétence","590","Gestion des ressources humaines","Gestion prévisionnelle des emplois et des compétences (GPEC)","",""
"gestion des compétences","590","Gestion des ressources humaines","Gestion prévisionnelle des emplois et des compétences (GPEC)","",""
"Gestion prévisionnelle des emplois et des compétences","480","Gestion des ressources humaines","Gestion prévisionnelle des emplois et des compétences (GPEC)","",""
"GPEC","18100","Gestion des ressources humaines","Gestion prévisionnelle des emplois et des compétences (GPEC)","",""
"GFI","12100","Company","GFI","",""
"Gfi Informatique","4400","Company","Gfi Informatique","",""
"GitHub","165000","Software","GitHub","",""
"GlusterFS","1000","Software","GlusterFS","",""
"Chromebook","110000","Technologie","Google","",""
"AppEngine","590","Software","Google","",""
"Gsuite","33100","Software","Google","",""
"Google","20400000","Company","Google","",""
"grande distribution","6600","Secteur","Grande distribution","",""
"Hadoop","6600","Software","Hadoop","",""
"HBJO","320","Company","HBJO","",""
"HCL Lucy","0","Software","HCL Lucy","",""
"hôpitaux","135000","Santé","Hôpitaux","",""
"Horizontal  Software","0","Company","Horizontal  Software","",""
"HPE","9900","Company","HPE","",""
"HSMaaS","10","Cloud Computing","HSMaaS","",""
"Human capital management","70","Gestion des ressources humaines","Human Capital Management","",""
"Hyland","320","Company","Hyland","",""
"IAaaS","2900","Cloud Computing","IAaS","",""
"IaaS","0","Cloud Computing","IAaS","",""
"IBM Rapid Discovery","0","Software","IBM","",""
"Watson","8100","Software","IBM","",""
"IBM","22200","Company","IBM","",""
"ICS","8100","Company","ICS","",""
"IDAM","390","Company","IDAM","",""
